eid,raw_eid,highway
39599,30172150,service
39600,30172150,service
39601,30172150,service
39602,30172150,service
76076,177236341,service
39623,30172151,service
39693,30172374,service
39624,30172151,service
108939,618087650,service
39625,30172151,service
39627,30172151,service
108942,618087651,service
108961,618087654,service
39628,30172151,service
133035,993455952,service
39629,30172151,service
39630,30172151,service
39631,30172151,service
39632,30172151,service
39634,30172151,service
109248,618087666,service
39635,30172151,service
110244,627604105,service
39636,30172151,service
109229,618087663,service
39638,30172151,service
109349,618090643,service
39639,30172151,service
39640,30172151,service
46036,37103660,service
39641,30172151,service
109061,618087657,service
39642,30172151,service
46056,37105631,service
46485,37105670,service
39648,30172373,service
46365,37105660,service
46503,37105671,service
39649,30172373,service
39650,30172373,service
39651,30172373,service
39652,30172373,service
39692,30172374,service
108935,618087649,service
39694,30172374,service
108949,618087653,service
39695,30172374,service
46927,37191693,service
39696,30172374,service
46245,37105647,service
39697,30172374,service
39698,30172374,service
46021,37103428,service
39699,30172374,service
39700,30172374,service
39701,30172374,service
109323,618089830,service
39702,30172374,service
46229,37105643,service
39703,30172374,service
46171,37105638,service
39705,30172374,service
39706,30172374,service
39707,30172374,service
39708,30172374,service
39709,30172374,service
39710,30172374,service
39711,30172374,service
39712,30172374,service
39713,30172374,service
39714,30172374,service
46304,37105655,service
39715,30172374,service
39716,30172374,service
39717,30172374,service
39718,30172374,service
39719,30172374,service
39721,30172374,service
46627,37106017,service
39722,30172374,service
39723,30172374,service
39724,30172374,service
39725,30172374,service
39726,30172374,service
39728,30172374,service
109407,618096607,service
39733,30172516,service
39734,30172516,service
47147,37209412,service
39735,30172516,service
39736,30172516,service
72602,156449753,service
39743,30172518,service
47110,37209301,service
39744,30172518,service
39745,30172518,service
39746,30172518,service
108838,618060243,service
108856,618087629,service
39747,30172518,service
108818,618060240,service
108872,618087632,service
39748,30172518,service
108892,618087636,service
39750,30172665,living_street
39751,30172665,living_street
39752,30172665,living_street
39753,30172924,primary
94870,376214217,primary
39754,30172924,primary
39755,30172924,primary
39756,30172924,primary
39757,30173871,primary
105125,564101348,primary
39758,30173872,primary
39759,30173872,primary
39760,30173873,primary
132977,991473157,primary
39762,30173874,primary_link
74405,165468246,service
111690,651619612,primary_link
39769,30173875,secondary
39770,30173875,secondary
39771,30174053,motorway_link
74825,169832943,trunk_link
65120,99084403,motorway_link
39773,30174054,motorway_link
39774,30174054,motorway_link
39775,30174054,motorway_link
39776,30174054,motorway_link
39778,30174583,primary
39779,30174583,primary
64826,97114948,primary
39782,30212827,residential
39783,30212827,residential
39784,30250848,residential
137108,1084594009,primary
39785,30250848,residential
39786,30250848,residential
39787,30250848,residential
39789,30265911,trunk
39790,30265911,trunk
39791,30265911,trunk
39792,30265911,trunk
39793,30265911,trunk
39794,30265913,trunk
101569,506103812,trunk
39795,30265918,trunk
39796,30265918,trunk
39797,30265918,trunk
39798,30265918,trunk
39799,30265920,trunk
39804,30266270,residential
54491,53649527,residential
142412,1196866740,residential
39805,30266270,residential
39806,30266270,residential
39807,30266270,residential
39809,30266480,tertiary
130499,917153272,tertiary
39811,30266530,residential
133228,996091558,residential
39813,30266535,residential
39814,30266535,residential
127255,867283129,residential
39815,30266535,residential
39816,30266535,residential
39817,30266535,residential
39818,30266535,residential
39819,30266535,residential
39821,30266535,residential
39822,30266535,residential
39824,30266535,residential
39825,30266535,residential
151319,1352299644,service
39826,30266535,residential
39827,30266535,residential
39828,30266768,residential
39840,30266828,tertiary
39829,30266768,residential
39830,30266768,residential
39831,30266768,residential
39832,30266768,residential
39844,30266872,residential
39833,30266768,residential
39834,30266768,residential
39835,30266768,residential
39841,30266828,tertiary
39842,30266828,tertiary
39843,30266828,tertiary
141690,1178066653,tertiary
39845,30266872,residential
39846,30266872,residential
39847,30266872,residential
39848,30266872,residential
39849,30266872,residential
39850,30266872,residential
39851,30266872,residential
39852,30266872,residential
39854,30266878,residential
39855,30266878,residential
39857,30266926,residential
39859,30266926,residential
39860,30266926,residential
39861,30266926,residential
39862,30266926,residential
39864,30266926,residential
39865,30266926,residential
39866,30266926,residential
39867,30266926,residential
39868,30266926,residential
39869,30266926,residential
39870,30266926,residential
39871,30266926,residential
39872,30266926,residential
39874,30266958,residential
39875,30266958,residential
39876,30275598,primary
39877,30275598,primary
39878,30275598,primary
39879,30275598,primary
154199,1423076874,primary
39880,30275605,primary
39881,30275970,secondary
109738,624127760,secondary
141590,1176325790,secondary
39883,30276026,tertiary
39884,30276026,tertiary
