node_id,longitude,latitude
383,2.3685028,48.8233044
384,2.3685822,48.8233377
385,2.3689035,48.8234754
386,2.369016,48.8235891
387,2.3703272,48.8241294
388,2.3703813,48.8241527
389,2.3719097,48.825144
390,2.3718251,48.8251459
391,2.3717867,48.8251468
392,2.3709965,48.8248686
393,2.3781354,48.8262685
394,2.3779721,48.8262735
395,2.3778619,48.8262727
396,2.3777878,48.8262687
397,2.3776007,48.8262393
398,2.3774802,48.8262206
399,2.3774127,48.8262104
400,2.3773491,48.8261985
401,2.3772194,48.8261705
402,2.3767704,48.8260688
403,2.376398,48.8259858
404,2.3762895,48.8259609
405,2.3759565,48.8258844
406,2.3759009,48.8258717
407,2.3758378,48.8258572
408,2.3757163,48.8258293
409,2.3749249,48.8256476
410,2.3747639,48.8256106
411,2.334404,48.8733546
412,2.3352026,48.8735645
413,2.3353197,48.8735967
414,2.3354635,48.8736337
415,2.3361989,48.8738252
416,2.3363115,48.8738551
417,2.3367616,48.8739817
418,2.337074,48.8740539
419,2.3373147,48.8741189
420,2.3579309,48.8795885
421,2.3575984,48.8795048
422,2.3575075,48.8794852
423,2.3574881,48.8794834
424,2.3574607,48.8794834
425,2.3574397,48.8794859
426,2.3573613,48.8795006
427,2.3573261,48.8795072
428,2.3573,48.8795124
429,2.3571878,48.879524
430,2.3494771,48.8838548
431,2.3493601,48.8838414
432,2.3490176,48.8838022
433,2.3482456,48.8837149
434,2.3471514,48.8835753
435,2.3469998,48.8835576
436,2.3294502,48.884409
437,2.3297141,48.8843551
438,2.3298791,48.8843162
439,2.369142,48.8824833
440,2.3690673,48.8823375
441,2.3688858,48.866331
442,2.3689275,48.8662782
443,2.3689724,48.8662183
444,2.369339,48.8657288
445,2.3693714,48.8656858
446,2.3694243,48.8656157
447,2.3694785,48.8655479
448,2.3700657,48.8647785
449,2.3701149,48.8647166
450,2.3701485,48.8646729
451,2.3705999,48.8640959
452,2.3706775,48.8639984
453,2.3707309,48.8639323
454,2.3711938,48.8633399
455,2.3712052,48.8633254
456,2.3712484,48.8632741
457,2.3052254,48.8278042
458,2.3050455,48.827838
459,2.3049314,48.8278599
460,2.2593597,48.8489018
461,2.2591734,48.8486643
462,2.2591362,48.8486159
463,2.2591274,48.8486057
464,2.2590817,48.8485463
465,2.2647857,48.8575168
466,2.2648723,48.8576619
467,2.2658166,48.8591567
468,2.2658963,48.8592808
469,2.2751793,48.8720921
470,2.2751049,48.8721131
471,2.2750276,48.8721287
472,2.2749481,48.8721387
473,2.2748701,48.872143
474,2.2748292,48.8721427
475,2.3979171,48.8828828
476,2.3981392,48.8828214
477,2.3983424,48.8827892
478,2.3988809,48.8827343
479,2.3993573,48.8826751
480,2.3994822,48.8826546
481,2.3996135,48.8826286
482,2.3998375,48.8825712
483,2.4000112,48.8825071
484,2.4001814,48.8824274
485,2.4003226,48.8823372
486,2.4004265,48.8822477
487,2.4005263,48.8821131
488,2.4005685,48.8819711
489,2.4005643,48.881828
490,2.4005327,48.8817349
491,2.400466,48.8816207
492,2.4003728,48.8815119
493,2.4002509,48.8813962
494,2.4000794,48.8812346
495,2.4000045,48.8810996
496,2.3999852,48.8809936
497,2.3999777,48.8808777
498,2.3999957,48.8808062
499,2.4000569,48.8806977
500,2.2907396,48.8857814
501,2.2907487,48.8859027
502,2.2907523,48.8859473
503,2.290748,48.8859687
504,2.2907326,48.8859905
505,2.2907125,48.8860065
506,2.2902095,48.8863671
507,2.2901945,48.8863838
508,2.290182,48.8864041
509,2.2901759,48.8864211
510,2.2901666,48.886446
511,2.2901539,48.8864725
512,2.2901425,48.8864927
513,2.2901308,48.8865078
514,2.2887964,48.887925
515,2.2888176,48.8879346
516,2.2888403,48.8879492
517,2.2888584,48.8879665
518,2.288871,48.8879858
519,2.2888777,48.8880063
520,2.2888783,48.8880272
521,2.2888727,48.8880479
522,2.2888612,48.8880674
523,2.2888649,48.8880857
524,2.2888734,48.8880982
525,2.2888875,48.8881065
526,2.2889373,48.8881335
527,2.2896777,48.888495
528,2.2897627,48.888537
529,2.2904882,48.8888932
530,2.2905815,48.8889392
531,2.2907081,48.8890014
532,2.2909871,48.8891381
533,2.2927361,48.889563
534,2.2928588,48.8894321
535,2.2931977,48.8890881
536,2.29341,48.8888695
537,2.2937697,48.8885229
538,2.2938452,48.8884477
539,2.2939521,48.8883386
540,2.2940214,48.8882691
541,2.3395942,48.8720689
542,2.3395669,48.8719913
543,2.3395448,48.8719657
544,2.3395132,48.8719478
545,2.3394464,48.8719239
546,2.3393521,48.871898
547,2.3392544,48.8718662
548,2.3391706,48.8718305
549,2.332918,48.8692263
550,2.3329244,48.8692116
551,2.332935,48.8691872
552,2.3330281,48.8689761
553,2.333085,48.868839
554,2.3330923,48.8688203
555,2.3331037,48.8687908
556,2.3331331,48.8687159
557,2.3332319,48.8684951
558,2.3332394,48.8684773
559,2.3332498,48.8684528
560,2.3333454,48.8682268
561,2.3334885,48.867894
562,2.333503,48.8678604
563,2.3335118,48.86784
